Browse	Prehľadávať
Review Fields	Polia revízie
Jumps to the next input field in the document.	Preskočí na ďalšie vstupné pole dokumentu.
Reference:	Odkaz:
Inserts a text field that you can open and edit by clicking it in the document.	Vloží textové pole, ktoré môžete otvoriť a upraviť kliknutím myší v dokumente.
Calculates the sum of the selected cells.	Vypočíta súčet vybraných buniek.
Rounds a number to the specified decimal places.	Zaokrúhli číslo na zadaný počet desatinných miest.
Calculates a percentage	Vypočíta percento
Calculates the square root.	Vypočíta druhú odmocninu.
Calculates the power of a number.	Vypočíta mocninu čísla.
List Separator	Oddeľovač v zozname
Separates the elements in a list.	Oddeľuje prvky v zozname.
Equal	je rovné
Checks if selected values are equal.	Skontroluje, či sú vybrané hodnoty rovnaké.
Not Equal	nie je rovné
Tests for inequality between selected values.	Testy nerovnosti medzi vybranými hodnotami.
Less Than or Equal	je menšie alebo rovné
Tests for values less than or equal to a specified value.	Testuje hodnoty menšie alebo rovné zadanej hodnote.
Greater Than or Equal	je väčšie alebo rovné
Tests for values greater than or equal to a specified value	Testuje hodnoty väčšie alebo rovné zadanej hodnote
Less	je menší
Tests for values less than a specified value	Testuje hodnoty menšie ako zadaná hodnota
Greater	je väčší
Tests for values greater than a specified value	Testuje hodnoty väčšie ako zadaná hodnota
Boolean Or	Logické OR
Tests for values matching the Boolean OR	Testy na hodnoty zodpovedajúce logickému operátoru OR
Boolean Xor	Logické XOR
Tests for values matching the Boolean exclusive OR	Testy na hodnoty zodpovedajúce logickému operátoru XOR
Boolean And	Logické AND
Tests for values matching the Boolean AND	Testy na hodnoty zodpovedajúce logickému operátoru AND
Boolean Not	Logické NOT
Tests for values matching the Boolean NOT	Testy na hodnoty zodpovedajúce logickému operátoru NOT
You can insert various operators in your formula.	Do vzorca môžete vložiť rôzne operátory.
Statistical Functions	Štatistické funkcie
Calculates the arithmetic mean of the values in an area or a list.	Vypočíta aritmetický priemer hodnôt v oblasti alebo zozname.
Calculates the minimum value in an area or a list.	Vypočíta minimálnu hodnotu pre oblasť alebo zoznam.
Calculates the maximum value in an area or a list.	Vypočíta maximálnu hodnotu pre oblasť alebo zoznam.
You can choose from the following statistical functions:	Môžete si vybrať z nasledujúcich štatistických funkcií:
Calculates the sine in radians	Vypočíta sínus argumentu v radiánoch
Calculates the cosine in radians.	Vypočíta kosínus argumentu v radiánoch.
Calculates the tangent in radians.	Vypočíta tangens argumentu v radiánoch.
Calculates the arc sine in radians.	Vypočíta arkus sínus v radiánoch.
Calculates the arc cosine in radians.	Vypočíta arkus kosínus v radiánoch.
Calculates the arc tangent in radians.	Vypočíta arkus tangens v radiánoch.
Abs	Abs
Sign	Sign
You can choose from the following trigonometric functions:	Môžete si vybrať z nasledujúcich trigonometrických funkcií:
Autotexts for Shortcut 	Automatické texty pre skratku 
Type the name of the bookmark that you want to create. Then press Insert.	Zadajte názov záložky, ktorú chcete vytvoriť. Potom stlačte Vložiť.
Bookmarks:	Záložky:
Go to	Prejsť na
Insert Break	Vložiť zalomenie
Line break	Zalomenie riadku
Column break	Zalomenie stĺpca
Page break	Zalomenie strany
Page Style:	Štýl strany:
Select the page style for the page that follows the manual page break.	Vyberte štýl pre stranu, ktorá nasleduje za ručným zalomením strany.
Change page number	Zmeniť číslo strany
Enter the new page number for the page that follows the manual page break.	Zadajte nové číslo strany pre stranu, ktorá nasleduje za ručným zalomením strany.
Inserts a manual line break, column break or a page break at the current cursor position.	Vloží ručné zalomenie riadku, zalomenie stĺpca alebo zalomenie stránky na súčasnú pozíciu kurzora.
Auto...	Auto...
Numbering:	Číslovanie:
Select the type of numbering that you want to use in the caption.	Vyberte typ číslovania, ktoré chcete použiť pre popisy.
Enter optional text characters to appear between the number and the caption text.	Zadajte znaky, ktoré sa zobrazia medzi číslom a textom popisu.
Numbering separator:	Oddeľovač číslovania:
. 	. 
Type the text that you want to appear after the caption number.	Zadajte text, Ktorý sa má zobraziť po čísle popisu.
Adds the caption above or below the selected item. This option is only available for some objects.	Pridá popis nad alebo pod vybraný objekt. Táto možnosť je k dispozícii iba pre niektoré objekty.
Adds a numbered caption to a selected image, table, chart, frame, or shape.	Pridá očíslovaný popis k vybranému obrázku, tabuľke, grafu, rámcu alebo útvaru.
Insert Database Columns	Vložiť stĺpce databázy
Insert data as:	Vložiť dáta ako:
Inserts data selected from the data source browser into the document as a table.	Vloží dáta vybrané z prehľadávača zdroja dát do dokumentu ako tabuľku.
Inserts data selected from the data source browser into the document as fields.	Vloží dáta vybrané z prehľadávača zdroja dát do dokumentu ako polia.
Inserts data selected from the data source browser into the document as text.	Vloží dáta vybrané z prehľadávača zdroja dát do dokumentu ako text.
Database columns	Stĺpce databázy
Table column(s)	Stĺpce tabuľky
Moves all listed database fields into the Table column(s) list box.	Presunie všetky uvedené polia databázy do zoznamu Stĺpce tabuľky.
Moves the selected database field into the Table column(s) list box.	Presunie vybrané databázové pole do poľa Stĺpce tabuľky.
Moves the fields that you selected in the Database columns list box into the selection field.	Presunie polia, ktoré ste vybrali v zozname Stĺpce databázy, do výberového poľa.
Removes the selected database field from the Table column(s) list box	Odstráni vybrané databázové pole zo zoznamu Stĺpce tabuľky
Removes all database fields from the Table column(s) list box.	Odstráni všetky polia databázy zo zoznamu Stĺpce tabuľky.
Lists all database columns to be inserted into the document.	Uvádza zoznam všetkých stĺpcov databázy, ktoré sa majú vložiť do dokumentu.
Specifies the database columns to be inserted into the text table.	Určuje stĺpce databázy, ktoré sa majú vložiť do textovej tabuľky.
Select the database columns that you want to insert it in the document.	Vyberte stĺpce databázy, ktoré chcete vložiť do dokumentu.
Insert table heading	Vložiť záhlavie tabuľky
Specifies whether to insert a heading line for the columns in the text table.	Určuje, či sa má vložiť nadpisový riadok stĺpcov v textovej tabuľke.
Apply column name	Použiť názov stĺpca
Uses the field names of the database table as headings for each of the text table columns.	Používa názvy polí databázovej tabuľky ako nadpisy pre každý zo stĺpcov textovej tabuľky.
Create row only	Vytvoriť len riadok
Inserts an empty heading line into the text table.	Vloží prázdny riadok nadpisu do textovej tabuľky.
AutoFormat...	Automatické formátovanie...
Paragraph style:	Štýl odseku:
Accepts the database formats.	Prijíma formáty databázy.
Specifies a format from the list, if the format information of certain data fields is not accepted.	Určuje formát zo zoznamu, ak nie sú akceptované informácie o formáte určitých dátových polí.
Insert Footnote/Endnote	Vložiť poznámku pod čiarou/koncovú poznámku
Previous footnote/endnote	Predchádzajúca poznámka pod čiarou / koncová poznámka
Moves to the previous footnote or endnote anchor in the document.	Prejde k predchádzajúcej značke poznámky pod čiarou alebo vysvetlivky v dokumente.
Next footnote/endnote	Nasledujúca poznámka pod čiarou / koncová poznámka
Moves to the next footnote or endnote anchor in the document.	Prejde k nasledujúcej značke poznámky pod čiarou alebo vysvetlivky v dokumente.
Automatically assigns consecutive numbers to the footnotes or endnotes that you insert.	Automaticky postupne čísluje vkladané poznámky pod čiarou alebo koncové poznámky.
Choose this option to define a character or symbol for the current footnote.	Vyberte túto možnosť, ak chcete definovať znak alebo symbol pre aktuálnu poznámku pod čiarou.
Choose…	Zvoliť...
Inserts a special character as a footnote or endnote anchor.	Na ukotvenie poznámky pod čiarou alebo koncovej poznámky sa použije špeciálny znak.
Insert Script	Vložiť skript
Jump to Previous Script.	Skočiť na predchádzajúci skript.
Jump to Next Script.	Skočiť na ďalší skript.
Script type:	Druh skriptu:
JavaScript	JavaScript
Enter the type of script that you want to insert.	Zadajte typ skriptu, ktorý chcete vložiť.
Locate the script file that you want to link to, and then click Insert.	Nájdite skript, na ktorý chcete odkazovať a kliknite na Vložiť.
Enter the script code that you want to insert.	Napíšte kód skriptu, ktorý chcete vložiť.
Inserts a script at the current cursor position in an HTML or text document.	Na pozíciu kurzora vloží skript do HTML alebo textového dokumentu.
Insert Section	Vložiť oblasť
Enter a name for the table.	Zadajte názov tabuľky.
Enter the number of columns that you want in the table.	Zadajte požadovaný počet stĺpcov tabuľky.
Rows:	Riadky:
Enter the number of rows that you want in the table.	Zadajte požadovaný počet riadkov tabuľky.
Warning : Large tables may adversely affect performance and compatibility	Upozornenie: Rozsiahle tabuľky môžu nepriaznivo ovplyvniť rýchlosť a kompatibilitu
Heading	Hlavička
Includes a heading row in the table.	Zahŕňa v tabuľke riadok nadpisu.
Repeat heading rows on new pages	Opakovať riadky hlavičky na nových stranách
Don’t split table over pages	Nerozdeľovať tabuľku cez stránky
Prevents the table from spanning more than one page.	Zabráni tomu, aby sa tabuľka rozšírila na viac ako jednu stranu.
Select the number of rows that you want to use for the heading.	Vyberte počet riadkov, ktoré chcete použiť pre nadpis.
Heading rows:	Riadky hlavičky:
Select a predefined style for the new table.	Vyberte preddefinovaný štýl pre novú tabuľku.
Creates a new document for editing.	Vytvorí nový dokument na úpravu.
Medium	Médium
Business	Pracovné
Allows you to create labels. Labels are created in a text document.	Umožňuje vytvárať etikety. Etikety sa vytvárajú v textovom dokumente.
Horizontal pitch:	Vodorovný odstup:
